"polozka","mesic","cena","polozka_kod","idhod"
"Chléb konzumní kmínový [1 kg]","2010-01","17.83","0111301","1303045171"
"Chléb konzumní kmínový [1 kg]","2010-02","18.89","0111301","1303381280"
"Chléb konzumní kmínový [1 kg]","2010-03","18.89","0111301","1303270700"
"Chléb konzumní kmínový [1 kg]","2010-04","18.84","0111301","1303046889"
"Chléb konzumní kmínový [1 kg]","2010-05","18.22","0111301","1303495338"
"Chléb konzumní kmínový [1 kg]","2010-06","18.39","0111301","1303496051"
"Chléb konzumní kmínový [1 kg]","2010-07","17.73","0111301","1303383837"
"Chléb konzumní kmínový [1 kg]","2010-08","17.43","0111301","1302921572"
"Chléb konzumní kmínový [1 kg]","2010-09","17.69","0111301","1302921573"
"Chléb konzumní kmínový [1 kg]","2010-10","17.69","0111301","1303073481"
"Chléb konzumní kmínový [1 kg]","2010-11","18.87","0111301","1303073482"
"Chléb konzumní kmínový [1 kg]","2010-12","19.85","0111301","1303496146"
"Chléb konzumní kmínový [1 kg]","2011-01","19.17","0111301","1303271525"
"Chléb konzumní kmínový [1 kg]","2011-02","19.15","0111301","1303495360"
"Chléb konzumní kmínový [1 kg]","2011-03","19.05","0111301","1302919881"
"Chléb konzumní kmínový [1 kg]","2011-04","19.48","0111301","1303046915"
"Chléb konzumní kmínový [1 kg]","2011-05","22.52","0111301","1303495361"
"Chléb konzumní kmínový [1 kg]","2011-06","22.70","0111301","1302919256"
"Chléb konzumní kmínový [1 kg]","2011-07","22.12","0111301","1303495060"
"Chléb konzumní kmínový [1 kg]","2011-08","22.63","0111301","1302919257"
"Chléb konzumní kmínový [1 kg]","2011-09","22.94","0111301","1302919258"
"Chléb konzumní kmínový [1 kg]","2011-10","22.92","0111301","1302916326"
"Chléb konzumní kmínový [1 kg]","2011-11","22.96","0111301","1303381281"
"Chléb konzumní kmínový [1 kg]","2011-12","22.96","0111301","1302916327"
"Chléb konzumní kmínový [1 kg]","2012-01","22.78","0111301","1303381282"
"Chléb konzumní kmínový [1 kg]","2012-02","22.75","0111301","1303493535"
"Chléb konzumní kmínový [1 kg]","2012-03","23.34","0111301","1303493536"
"Chléb konzumní kmínový [1 kg]","2012-04","23.30","0111301","1303381283"
"Chléb konzumní kmínový [1 kg]","2012-05","22.72","0111301","1302916328"
"Chléb konzumní kmínový [1 kg]","2012-06","22.76","0111301","1302918802"
"Chléb konzumní kmínový [1 kg]","2012-07","22.51","0111301","1303046365"
"Chléb konzumní kmínový [1 kg]","2012-08","22.68","0111301","1303046366"
"Chléb konzumní kmínový [1 kg]","2012-09","22.73","0111301","1302921575"
"Chléb konzumní kmínový [1 kg]","2012-10","22.75","0111301","1303531023"
"Chléb konzumní kmínový [1 kg]","2012-11","23.18","0111301","1303531024"
"Chléb konzumní kmínový [1 kg]","2012-12","23.19","0111301","1302921576"
"Chléb konzumní kmínový [1 kg]","2013-01","22.88","0111301","1303047718"
"Chléb konzumní kmínový [1 kg]","2013-02","22.45","0111301","1303270727"
"Chléb konzumní kmínový [1 kg]","2013-03","23.26","0111301","1302919882"
"Chléb konzumní kmínový [1 kg]","2013-04","23.31","0111301","1303530211"
"Chléb konzumní kmínový [1 kg]","2013-05","23.30","0111301","1303383094"
"Chléb konzumní kmínový [1 kg]","2013-06","22.96","0111301","1302919883"
"Chléb konzumní kmínový [1 kg]","2013-07","23.15","0111301","1303383095"
"Chléb konzumní kmínový [1 kg]","2013-08","23.14","0111301","1302919884"
"Chléb konzumní kmínový [1 kg]","2013-09","23.11","0111301","1303529913"
"Chléb konzumní kmínový [1 kg]","2013-10","22.95","0111301","1303383966"
"Chléb konzumní kmínový [1 kg]","2013-11","23.08","0111301","1303271551"
"Chléb konzumní kmínový [1 kg]","2013-12","23.10","0111301","1303493537"
"Chléb konzumní kmínový [1 kg]","2014-01","23.06","0111301","1303493538"
"Chléb konzumní kmínový [1 kg]","2014-02","23.05","0111301","1303268924"
"Chléb konzumní kmínový [1 kg]","2014-03","23.17","0111301","1303493539"
"Chléb konzumní kmínový [1 kg]","2014-04","23.12","0111301","1303528378"
"Chléb konzumní kmínový [1 kg]","2014-05","23.25","0111301","1303070864"
"Chléb konzumní kmínový [1 kg]","2014-06","22.71","0111301","1303270229"
"Chléb konzumní kmínový [1 kg]","2014-07","23.01","0111301","1302918803"
"Chléb konzumní kmínový [1 kg]","2014-08","23.03","0111301","1303046367"
"Chléb konzumní kmínový [1 kg]","2014-09","22.49","0111301","1303529689"
"Chléb konzumní kmínový [1 kg]","2014-10","23.04","0111301","1302918804"
"Chléb konzumní kmínový [1 kg]","2014-11","23.01","0111301","1303072234"
"Chléb konzumní kmínový [1 kg]","2014-12","23.04","0111301","1303383944"
"Chléb konzumní kmínový [1 kg]","2015-01","22.98","0111301","1303073483"
"Chléb konzumní kmínový [1 kg]","2015-02","22.92","0111301","1303530513"
"Chléb konzumní kmínový [1 kg]","2015-03","23.02","0111301","1303495362"
"Chléb konzumní kmínový [1 kg]","2015-04","22.53","0111301","1303270728"
"Chléb konzumní kmínový [1 kg]","2015-05","22.71","0111301","1303046917"
"Chléb konzumní kmínový [1 kg]","2015-06","22.44","0111301","1302919885"
"Chléb konzumní kmínový [1 kg]","2015-07","22.78","0111301","1303495363"
"Chléb konzumní kmínový [1 kg]","2015-08","22.06","0111301","1303530330"
"Chléb konzumní kmínový [1 kg]","2015-09","22.07","0111301","1303383206"
"Chléb konzumní kmínový [1 kg]","2015-10","22.05","0111301","1303496172"
"Chléb konzumní kmínový [1 kg]","2015-11","22.06","0111301","1303271553"
"Chléb konzumní kmínový [1 kg]","2015-12","21.86","0111301","1302921622"
"Chléb konzumní kmínový [1 kg]","2016-01","21.79","0111301","1303531063"
"Chléb konzumní kmínový [1 kg]","2016-02","21.73","0111301","1303496283"
"Chléb konzumní kmínový [1 kg]","2016-03","21.48","0111301","1302920025"
"Chléb konzumní kmínový [1 kg]","2016-04","21.73","0111301","1302920026"
"Chléb konzumní kmínový [1 kg]","2016-05","21.75","0111301","1303530297"
"Chléb konzumní kmínový [1 kg]","2016-06","21.37","0111301","1302921783"
"Chléb konzumní kmínový [1 kg]","2016-07","21.79","0111301","1302921784"
"Chléb konzumní kmínový [1 kg]","2016-08","21.79","0111301","1303531141"
"Chléb konzumní kmínový [1 kg]","2016-09","21.77","0111301","1303073583"
"Chléb konzumní kmínový [1 kg]","2016-10","21.82","0111301","1303073584"
"Chléb konzumní kmínový [1 kg]","2016-11","21.67","0111301","1303073585"
"Chléb konzumní kmínový [1 kg]","2016-12","22.79","0111301","1303384045"
"Chléb konzumní kmínový [1 kg]","2017-01","22.87","0111301","1303384046"
"Chléb konzumní kmínový [1 kg]","2017-02","22.56","0111301","1302920070"
"Chléb konzumní kmínový [1 kg]","2017-03","24.11","0111301","1303530331"
"Chléb konzumní kmínový [1 kg]","2017-04","24.68","0111301","1303495462"
"Chléb konzumní kmínový [1 kg]","2017-05","24.62","0111301","1303530332"
"Chléb konzumní kmínový [1 kg]","2017-06","24.65","0111301","1303495181"
"Chléb konzumní kmínový [1 kg]","2017-07","24.52","0111301","1303382880"
"Chléb konzumní kmínový [1 kg]","2017-08","24.56","0111301","1303046709"
"Chléb konzumní kmínový [1 kg]","2017-09","24.49","0111301","1302919466"
"Chléb konzumní kmínový [1 kg]","2017-10","23.42","0111301","1303495527"
"Chléb konzumní kmínový [1 kg]","2017-11","24.64","0111301","1302920245"
"Chléb konzumní kmínový [1 kg]","2017-12","24.72","0111301","1303530407"
"Chléb konzumní kmínový [1 kg]","2018-01","24.71","0111301","1302920246"
"Chléb konzumní kmínový [1 kg]","2018-02","24.79","0111301","1303270889"
"Chléb konzumní kmínový [1 kg]","2018-03","24.82","0111301","1302920247"
"Chléb konzumní kmínový [1 kg]","2018-04","24.25","0111301","1303270890"
"Chléb konzumní kmínový [1 kg]","2018-05","24.08","0111301","1302920248"
"Chléb konzumní kmínový [1 kg]","2018-06","24.13","0111301","1303271130"
"Chléb konzumní kmínový [1 kg]","2018-07","24.30","0111301","1303383525"
"Chléb konzumní kmínový [1 kg]","2018-08","24.01","0111301","1303530621"
"Chléb konzumní kmínový [1 kg]","2018-09","23.77","0111301","1303383526"
"Chléb konzumní kmínový [1 kg]","2018-10","23.65","0111301","1303495867"
"Chléb konzumní kmínový [1 kg]","2018-11","23.38","0111301","1303047420"
"Chléb konzumní kmínový [1 kg]","2018-12","24.65","0111301","1303271223"
"Chléb konzumní kmínový [1 kg]","2019-01","25.59","0111301","1302920297"
"Chléb konzumní kmínový [1 kg]","2019-02","25.70","0111301","1302919076"
"Chléb konzumní kmínový [1 kg]","2019-03","26.56","0111301","1302919255"
"Chléb konzumní kmínový [1 kg]","2019-04","26.51","0111301","1302921833"
"Chléb konzumní kmínový [1 kg]","2019-05","26.34","0111301","1303531162"
"Chléb konzumní kmínový [1 kg]","2019-06","26.22","0111301","1303073603"
"Chléb konzumní kmínový [1 kg]","2019-07","26.20","0111301","1302918661"
"Chléb konzumní kmínový [1 kg]","2019-08","26.12","0111301","1302918662"
"Chléb konzumní kmínový [1 kg]","2019-09","26.25","0111301","1303494767"
"Chléb konzumní kmínový [1 kg]","2019-10","26.43","0111301","1303383069"
"Chléb konzumní kmínový [1 kg]","2019-11","26.41","0111301","1303495339"
"Chléb konzumní kmínový [1 kg]","2019-12","26.41","0111301","1303383070"
"Chléb konzumní kmínový [1 kg]","2020-01","26.43","0111301","1303072618"
"Chléb konzumní kmínový [1 kg]","2020-02","26.81","0111301","1303495340"
"Chléb konzumní kmínový [1 kg]","2020-03","26.90","0111301","1303530182"
"Chléb konzumní kmínový [1 kg]","2020-04","27.79","0111301","1303270425"
"Chléb konzumní kmínový [1 kg]","2020-05","27.64","0111301","1302919211"
"Chléb konzumní kmínový [1 kg]","2020-06","27.93","0111301","1302921574"
"Chléb konzumní kmínový [1 kg]","2020-07","27.97","0111301","1303047421"
"Chléb konzumní kmínový [1 kg]","2020-08","27.56","0111301","1303495868"
"Chléb konzumní kmínový [1 kg]","2020-09","28.07","0111301","1303073146"
"Chléb konzumní kmínový [1 kg]","2020-10","27.17","0111301","1303047422"
"Chléb konzumní kmínový [1 kg]","2020-11","26.99","0111301","1303271224"
"Chléb konzumní kmínový [1 kg]","2020-12","27.67","0111301","1303383614"
"Chléb konzumní kmínový [1 kg]","2021-01","28.32","0111301","1226074089"
"Chléb konzumní kmínový [1 kg]","2021-02","28.67","0111301","1226074100"
"Chléb konzumní kmínový [1 kg]","2021-03","28.76","0111301","1226074111"
"Chléb konzumní kmínový [1 kg]","2021-04","28.66","0111301","1226074122"
